index,max_depth,size,type_vid
0,6.955467155535161,6.668228248417403,Squat - B
1,6.68633684706978,6.040254711277414,Squat - A
2,6.637992663054651,6.16541785423142,Squat - C
3,6.459936738493036,6.129050210060545,Squat - A
4,6.879449990080776,6.5722825426940075,Squat - A
5,5.996198350594197,5.6937321388027,Squat - A
6,6.171218762331998,5.902633333401366,Squat - A
7,5.6716732232789395,5.384495062789089,Squat - A
8,6.904251528381651,6.416732282512326,Squat - C
9,6.313654741537456,5.886104031450156,Squat - A
10,6.562161723129324,5.934894195619588,Squat - A
11,6.63740912787686,5.8805329864007,Squat - A
12,5.543197505556594,6.016157159698354,Squat - A
13,6.488808680864423,6.440946540632921,Squat - A
14,6.06945601442996,5.823045895483019,Squat - A
15,6.120893641844394,5.746203190540153,Squat - A
16,5.401387251068812,5.5053315359323625,Squat - A
17,5.968916790338016,5.971261839790462,Squat - A
18,5.137559992796875,5.831882477283517,Squat - A
19,4.893757724541355,6.100318952020064,Squat - A
20,6.482393713492295,6.025865973825314,Squat - B
21,6.486834181876438,5.940171252720432,Squat - B
22,6.98901198053653,6.298949246855942,Squat - B
23,6.469475033399514,5.755742213586912,Squat - B
24,6.594309586045414,6.118097198041348,Squat - B
25,6.851948060093102,6.028278520230698,Squat - B
26,6.674505595493794,6.150602768446279,Squat - B
27,6.965108470943609,6.234410725718371,Squat - B
28,6.60128368891209,6.068425588244111,Squat - B
29,6.725761622524553,5.872117789475416,Squat - B
30,6.01188257242944,6.284134161070802,Squat - B
31,6.062618330839332,6.490723534502507,Squat - A
32,6.350241178049276,6.1903154058531475,Squat - A
33,5.3734962753592725,5.8664680569332965,Squat - A
34,6.732621790855702,6.476972362889683,Squat - A
35,6.158238722933858,6.470799503782602,Squat - A
36,6.19914336938261,5.8289456176102075,Squat - A
37,5.84578684472227,5.780743515792329,Squat - A
38,6.275336230506253,6.016157159698354,Squat - A
39,6.206401112172663,5.863631175598097,Squat - A
40,5.82811447612213,5.932245187448011,Squat - A
41,6.719637758777354,6.71174039505618,Squat - A
42,6.014467813753907,6.124683390894205,Squat - A
43,5.711089898109809,5.703782474656201,Squat - A
44,6.487946890311587,6.118097198041348,Squat - A
45,6.074626820471306,6.186208623900494,Squat - B
46,6.124396003565941,5.869296913133774,Squat - A
47,6.578000650789006,6.608000625296087,Squat - A
48,7.072418690880237,5.978885764901122,Squat - B
49,5.143983678948046,5.298317366548036,Squat - A
50,6.546244792652347,5.4510384535657,Squat - A
51,6.6203841933252,5.389071729816501,Squat - A
52,6.448239332322689,5.8916442118257715,Squat - B
53,6.418758649681743,5.8998973535824915,Squat - A
54,6.0545605495863635,6.144185634125646,Squat - B
55,7.0268749859993545,6.139884552226255,Squat - B
56,6.064976316918918,5.983936280687191,Squat - B
57,6.2654475239577145,6.068425588244111,Squat - A
58,6.669525431375158,5.945420608606575,Squat - A
59,6.412746292934156,7.069023426578259,Squat - C
60,6.914734347532759,7.2254814727822945,Squat - C
61,6.479857507251749,6.906754778648554,Squat - C
62,7.339234851767019,6.577861357721047,Squat - C
63,7.168669235951856,6.093569770045136,Squat - B
64,5.6904107967692115,5.886104031450156,Squat - A
65,6.880214511769319,6.354370040797351,Squat - C
66,6.822207496608368,5.918893854273146,Squat - C
67,5.870193848255041,5.351858133476067,Squat - A
68,6.304600876631365,6.744059186311348,Squat - A
69,6.417309954998868,5.517452896464707,Squat - A
70,6.219242545400423,6.576469569048224,Squat - C
71,5.914313125301776,6.104793232414985,Squat - A
72,7.335946907236759,6.826545223556594,Squat - C
73,6.130500504743655,6.093569770045136,Squat - A
74,6.269142405800469,6.773080375655535,Squat - A
75,6.694810171907088,6.690842277418564,Squat - A
76,6.545404380011839,6.804614520062624,Squat - A
77,6.447260689701651,6.84587987526405,Squat - C
78,6.746003948876246,7.268920128193722,Squat - C
79,6.609404601015371,7.174724309836376,Squat - C
80,6.025074783874313,6.4967749901858625,Squat - A
81,6.701815490739738,6.684611727667927,Squat - B
82,5.66804639761843,5.579729825986222,Squat - A
83,6.383315469350054,6.222576268071369,Squat - A
84,6.327114978331308,6.368187186350492,Squat - A
85,7.025270049491977,6.733401891837359,Squat - B
86,6.706955004269923,6.695798917058491,Squat - A
87,6.4438581622916375,5.817111159963204,Squat - A
88,6.604389827609828,6.452048954437226,Squat - A
89,6.459888502965345,6.2324480165505225,Squat - A
